"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
72,"sacral vertebra",204,41,150,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001094","sacral vertebra","","","","","","","","",""
73,"thoracic vertebra",255,207,218,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002347","thoracic vertebra","","","","","","","","",""
74,"proatlas",87,197,211,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0007800","proatlas","","","","","","","","",""
75,"atlas",170,85,0,0,"","","","","","","","","","","","","","",""
76,"axis",170,170,0,0,"","","","","","","","","","","","","","",""
77,"stapes cartilage element",103,87,138,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0011152","dorsal hyoid arch skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0010055","stapes cartilage element","","","","","","","","",""
78,"hyoid apparatus",250,170,50,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005884","hyoid arch skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0010272","hyoid apparatus","","","","","","","","",""
79,"thoracic rib cage",116,217,69,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0003252","thoracic rib cage","","","","","","","","",""
80,"",0,0,0,0,"","","","","","","","","","","","","","",""
81,"",0,0,0,0,"","","","","","","","","","","","","","",""
82,"",0,0,0,0,"","","","","","","","","","","","","","",""
83,"",0,0,0,0,"","","","","","","","","","","","","","",""
84,"",0,0,0,0,"","","","","","","","","","","","","","",""
85,"",0,0,0,0,"","","","","","","","","","","","","","",""
86,"",0,0,0,0,"","","","","","","","","","","","","","",""
87,"",0,0,0,0,"","","","","","","","","","","","","","",""
88,"",0,0,0,0,"","","","","","","","","","","","","","",""
89,"",0,0,0,0,"","","","","","","","","","","","","","",""
90,"",0,0,0,0,"","","","","","","","","","","","","","",""
91,"",0,0,0,0,"","","","","","","","","","","","","","",""
92,"",0,0,0,0,"","","","","","","","","","","","","","",""
93,"",0,0,0,0,"","","","","","","","","","","","","","",""
94,"",0,0,0,0,"","","","","","","","","","","","","","",""
95,"",0,0,0,0,"","","","","","","","","","","","","","",""
96,"",0,0,0,0,"","","","","","","","","","","","","","",""
97,"",0,0,0,0,"","","","","","","","","","","","","","",""
98,"",0,0,0,0,"","","","","","","","","","","","","","",""
99,"",0,0,0,0,"","","","","","","","","","","","","","",""
100,"",0,0,0,0,"","","","","","","","","","","","","","",""
